2016-05-27 16:40:03.964  INFO 11816 --- [hz._hzInstance_1_dev.HealthMonitor] c.h.internal.monitors.HealthMonitor      : [10.9.8.13]:5701 [dev] [3.5.5] processors=4, physical.memory.total=15,9G, physical.memory.free=9,5G, swap.space.total=16,9G, swap.space.free=8,0G, heap.memory.used=53,6M, heap.memory.free=317,4M, heap.memory.total=371,0M, heap.memory.max=3,5G, heap.memory.used/total=14,46%, heap.memory.used/max=1,48%, minor.gc.count=6, minor.gc.time=129ms, major.gc.count=2, major.gc.time=149ms, load.process=100,00%, load.system=100,00%, load.systemAverage=n/a, thread.count=45, thread.peakCount=45, cluster.timeDiff=0, event.q.size=0, executor.q.async.size=0, executor.q.client.size=0, executor.q.query.size=0, executor.q.scheduled.size=0, executor.q.io.size=0, executor.q.system.size=0, executor.q.operation.size=0, executor.q.priorityOperation.size=0, executor.q.response.size=0, operations.remote.size=0, operations.running.size=0, operations.pending.invocations.count=0, operations.pending.invocations.percentage=0,00%, proxy.count=0, clientEndpoint.count=0, connection.active.count=0, client.connection.count=0, connection.count=0
2016-05-27 16:40:03.974  INFO 11816 --- [main] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2016-05-27 16:40:03.975  INFO 11816 --- [main] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2016-05-27 16:40:04.021  INFO 11816 --- [main] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2016-05-27 16:40:04.238  INFO 11816 --- [main] o.s.j.e.a.AnnotationMBeanExporter        : Registering beans for JMX exposure on startup
2016-05-27 16:40:04.257  INFO 11816 --- [main] application                              : Initializing Spring FrameworkServlet 'dispatcherServlet'
2016-05-27 16:40:04.257  INFO 11816 --- [main] o.s.web.servlet.DispatcherServlet        : FrameworkServlet 'dispatcherServlet': initialization started
2016-05-27 16:40:04.272  INFO 11816 --- [main] o.s.web.servlet.DispatcherServlet        : FrameworkServlet 'dispatcherServlet': initialization completed in 15 ms
2016-05-27 16:40:04.290  INFO 11816 --- [main] o.eclipse.jetty.server.ServerConnector   : Started ServerConnector@65a9ea3c{HTTP/1.1}{0.0.0.0:8888}
2016-05-27 16:40:04.295  INFO 11816 --- [main] .s.b.c.e.j.JettyEmbeddedServletContainer : Jetty started on port(s) 8888 (http/1.1)
2016-05-27 16:40:04.303  INFO 11816 --- [main] ru.wobot.sm.proxy.Application            : Started Application in 10.29 seconds (JVM running for 11.088)
2016-05-27 16:40:04.303  INFO 11816 --- [main] ru.wobot.sm.proxy.Application            : application
2016-05-27 16:40:04.304  INFO 11816 --- [main] ru.wobot.sm.proxy.Application            : basicErrorController
2016-05-27 16:40:04.304  INFO 11816 --- [main] ru.wobot.sm.proxy.Application            : beanNameHandlerMapping
2016-05-27 16:40:04.304  INFO 11816 --- [main] ru.wobot.sm.proxy.Application            : beanNameViewResolver
2016-05-27 16:40:04.304  INFO 11816 --- [main] ru.wobot.sm.proxy.Application            : characterEncodingFilter
2016-05-27 16:40:04.304  INFO 11816 --- [main] ru.wobot.sm.proxy.Application            : defaultServletHandlerMapping
2016-05-27 16:40:04.304  INFO 11816 --- [main] ru.wobot.sm.proxy.Application            : defaultViewResolver
2016-05-27 16:40:04.304  INFO 11816 --- [main] ru.wobot.sm.proxy.Application            : dispatcherServlet
2016-05-27 16:40:04.304  INFO 11816 --- [main] ru.wobot.sm.proxy.Application            : dispatcherServletRegistration
2016-05-27 16:40:04.304  INFO 11816 --- [main] ru.wobot.sm.proxy.Application            : duplicateServerPropertiesDetector
2016-05-27 16:40:04.304  INFO 11816 --- [main] ru.wobot.sm.proxy.Application            : embeddedServletContainerCustomizerBeanPostProcessor
2016-05-27 16:40:04.304  INFO 11816 --- [main] ru.wobot.sm.proxy.Application            : error
2016-05-27 16:40:04.304  INFO 11816 --- [main] ru.wobot.sm.proxy.Application            : errorAttributes
2016-05-27 16:40:04.304  INFO 11816 --- [main] ru.wobot.sm.proxy.Application            : errorPageCustomizer
2016-05-27 16:40:04.304  INFO 11816 --- [main] ru.wobot.sm.proxy.Application            : faviconHandlerMapping
2016-05-27 16:40:04.305  INFO 11816 --- [main] ru.wobot.sm.proxy.Application            : faviconRequestHandler
2016-05-27 16:40:04.305  INFO 11816 --- [main] ru.wobot.sm.proxy.Application            : fbProfileService
